"uuid","name","primary_entity_uuid","field_service_group_uuid","status","site_created_on","site_id","type","business_criticality","opening_hours","parent_uuid","phone","time_zone","street","city","state_province","country","postal_code","comments","alternative_site_reference","wan_design","network_telecom_service","created_at","updated_at"
"10512ee1-37ff-4ee9-a502-cece10c1d29b","Site Marseille","9de47026-a0e0-4400-a0c7-51fe921d1643",NULL,"ACTIVE","2024-09-13 18:52:47.375791+02","SITE-13001","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 769607972","Europe/Paris","55 rue Jean Jaurès","Marseille","Provence-Alpes-Côte d'Azur","France","13001","Site créé le 2025-02-13","REF-13001","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"cf427732-3e2e-4abc-9b1d-f85973b6236c","Site Nice","362f3725-f023-44c1-bcc0-228535a2c69a",NULL,"ACTIVE","2024-03-08 18:52:47.375791+01","SITE-06000","MAIN_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 259559218","Europe/Paris","51 rue de la Liberté","Nice","Provence-Alpes-Côte d'Azur","France","06000","Site créé le 2025-02-13","REF-06000","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"633868e8-0ad7-4c9f-888d-4190b668714e","Site Toulon",NULL,NULL,"ACTIVE","2024-09-30 18:52:47.375791+02","SITE-83000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 357285393","Europe/Paris","77 rue Jean Jaurès","Toulon","Provence-Alpes-Côte d'Azur","France","83000","Site créé le 2025-02-13","REF-83000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"09d147a5-8bde-4c70-8ccb-163e7a0982f9","Site Aix-en-Provence",NULL,NULL,"ACTIVE","2024-04-28 18:52:47.375791+02","SITE-13100","MAIN_OFFICE","LOW","8:00-19:00",NULL,"+33 748871737","Europe/Paris","13100 Aix-en-Provence","Aix-en-Provence","Provence-Alpes-Côte d'Azur","France","13100","Site créé le 2025-02-13","REF-13100","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"5a54a741-5c57-4316-be3f-96e4f6a630a6","Site Avignon",NULL,NULL,"ACTIVE","2024-07-27 18:52:47.375791+02","SITE-84000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 585895151","Europe/Paris","84000 Avignon","Avignon","Provence-Alpes-Côte d'Azur","France","84000","Site créé le 2025-02-13","REF-84000","MPLS","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"326ff7c7-0c91-4ddc-9de4-e494a3ec1e4f","Site Toulouse","9020d7ea-bdda-4dcd-8980-4f0ee0ed7a48",NULL,"ACTIVE","2024-04-29 18:52:47.375791+02","SITE-31000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 541869260","Europe/Paris","31000 Toulouse","Toulouse","Occitanie","France","31000","Site créé le 2025-02-13","REF-31000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"5a579006-7ff8-48f9-a16e-a5a70aba2290","Site Montpellier",NULL,NULL,"ACTIVE","2024-10-29 18:52:47.375791+01","SITE-34000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 635348570","Europe/Paris","34000 Montpellier","Montpellier","Occitanie","France","34000","Site créé le 2025-02-13","REF-34000","MPLS","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"236ccb52-7025-417f-87df-eac01141520b","Site Nîmes",NULL,NULL,"ACTIVE","2024-05-14 18:52:47.375791+02","SITE-30000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 336971771","Europe/Paris","30000 Nîmes","Nîmes","Occitanie","France","30000","Site créé le 2025-02-13","REF-30000","MPLS","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"c251167c-125f-48da-9aa2-c432cd2230ea","Site Perpignan",NULL,NULL,"ACTIVE","2024-06-06 18:52:47.375791+02","SITE-66000","MAIN_OFFICE","LOW","8:00-19:00",NULL,"+33 684038528","Europe/Paris","66000 Perpignan","Perpignan","Occitanie","France","66000","Site créé le 2025-02-13","REF-66000","MPLS","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"93e0ce74-0835-4b12-8fbc-76103764caf0","Site Béziers",NULL,NULL,"ACTIVE","2024-06-30 18:52:47.375791+02","SITE-34500","MAIN_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 239868098","Europe/Paris","86 rue du Général de Gaulle","Béziers","Occitanie","France","34500","Site créé le 2025-02-13","REF-34500","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"c64526ed-6d83-476e-8b88-a74407d64e88","Site Lille","67156602-229f-45ee-99a8-0704ea328eef",NULL,"ACTIVE","2024-06-01 18:52:47.375791+02","SITE-59000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 572821124","Europe/Paris","59000 Lille","Lille","Hauts-de-France","France","59000","Site créé le 2025-02-13","REF-59000","MPLS","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"ae731d13-c956-4ed8-80bf-81eecad90d35","Site Amiens",NULL,NULL,"ACTIVE","2024-06-29 18:52:47.375791+02","SITE-80000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 537574167","Europe/Paris","13 rue de la Liberté","Amiens","Hauts-de-France","France","80000","Site créé le 2025-02-13","REF-80000","HYBRID","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"16f6a041-e871-4e6d-b997-049ab22fb7eb","Site Valenciennes",NULL,NULL,"ACTIVE","2024-05-02 18:52:47.375791+02","SITE-59300","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 50555192","Europe/Paris","23 rue du Général de Gaulle","Valenciennes","Hauts-de-France","France","59300","Site créé le 2025-02-13","REF-59300","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"2721fde4-2824-480b-95ae-aa77936aafb4","Site Dunkerque",NULL,NULL,"ACTIVE","2024-10-02 18:52:47.375791+02","SITE-59140","MAIN_OFFICE","HIGH","8:00-19:00",NULL,"+33 4080119742","Europe/Paris","88 rue Victor Hugo","Dunkerque","Hauts-de-France","France","59140","Site créé le 2025-02-13","REF-59140","MPLS","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"0dc4128a-0602-4490-8995-bda866a5d2dd","Site Calais",NULL,NULL,"ACTIVE","2024-02-18 18:52:47.375791+01","SITE-62100","MAIN_OFFICE","LOW","8:00-19:00",NULL,"+33 944079019","Europe/Paris","97 rue Jean Jaurès","Calais","Hauts-de-France","France","62100","Site créé le 2025-02-13","REF-62100","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"222a43b7-c6d6-47d3-bc99-a0983b9ce64d","Site Strasbourg","d4a287a5-c10a-4a5d-aa97-7e0d5bbe2355",NULL,"ACTIVE","2024-12-29 18:52:47.375791+01","SITE-67000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 942872867","Europe/Paris","67000 Strasbourg","Strasbourg","Grand Est","France","67000","Site créé le 2025-02-13","REF-67000","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"1155d55e-d3f0-4ab9-a830-e979a7cab8ed","Site Reims",NULL,NULL,"ACTIVE","2025-01-19 18:52:47.375791+01","SITE-51100","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 34873839","Europe/Paris","19 rue Victor Hugo","Reims","Grand Est","France","51100","Site créé le 2025-02-13","REF-51100","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"92231da2-12cf-4520-ae1c-f734eaeaa4a4","Site Metz",NULL,NULL,"ACTIVE","2024-05-23 18:52:47.375791+02","SITE-57000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 223466811","Europe/Paris","14 rue Victor Hugo","Metz","Grand Est","France","57000","Site créé le 2025-02-13","REF-57000","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"2f015d9a-b11e-43c6-9d28-b473d2d9dab1","Site Mulhouse",NULL,NULL,"ACTIVE","2024-02-14 18:52:47.375791+01","SITE-68100","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 313665413","Europe/Paris","18 rue du Général de Gaulle","Mulhouse","Grand Est","France","68100","Site créé le 2025-02-13","REF-68100","MPLS","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"e47eaae8-0736-4b8b-864c-e78263688923","Site Nancy",NULL,NULL,"ACTIVE","2025-01-16 18:52:47.375791+01","SITE-54000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 658591547","Europe/Paris","76 rue Victor Hugo","Nancy","Grand Est","France","54000","Site créé le 2025-02-13","REF-54000","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"24aea027-31b6-43fa-b193-40e561d0f0f6","Site Nantes","13f076e8-fb7a-4def-90b2-5bb2904369aa",NULL,"ACTIVE","2024-09-30 18:52:47.375791+02","SITE-44000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 884819275","Europe/Paris","44000 Nantes","Nantes","Pays de la Loire","France","44000","Site créé le 2025-02-13","REF-44000","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"9813f64c-06b9-42e9-add6-f1fa2b5cb701","Site Angers",NULL,NULL,"ACTIVE","2024-10-01 18:52:47.375791+02","SITE-49000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 2099556568","Europe/Paris","49000 Angers","Angers","Pays de la Loire","France","49000","Site créé le 2025-02-13","REF-49000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"c8dcccee-fec9-4570-aa07-bb4099448eb8","Site Le Mans",NULL,NULL,"ACTIVE","2024-08-19 18:52:47.375791+02","SITE-72000","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 479233992","Europe/Paris","93 rue de la Liberté","Le Mans","Pays de la Loire","France","72000","Site créé le 2025-02-13","REF-72000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"15a0abd2-6a63-4b59-abb7-0fd83d668d37","Site Saint-Nazaire",NULL,NULL,"ACTIVE","2024-05-30 18:52:47.375791+02","SITE-44600","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 886604597","Europe/Paris","44600 Saint-Nazaire","Saint-Nazaire","Pays de la Loire","France","44600","Site créé le 2025-02-13","REF-44600","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"272b6ada-607c-4916-a963-909282a2cc64","Site Cholet",NULL,NULL,"ACTIVE","2024-08-26 18:52:47.375791+02","SITE-49300","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 266470838","Europe/Paris","77 rue Victor Hugo","Cholet","Pays de la Loire","France","49300","Site créé le 2025-02-13","REF-49300","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"a234f7b6-839d-4b6a-aef8-46ffec575217","Site Rennes","60b157cc-0f84-464c-8679-71bb518cb135",NULL,"ACTIVE","2024-03-27 18:52:47.375791+01","SITE-35000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 28713103","Europe/Paris","56 rue Jean Jaurès","Rennes","Bretagne","France","35000","Site créé le 2025-02-13","REF-35000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"e933ee3c-0fcb-4cf5-a42f-4608bfe7718e","Site Brest",NULL,NULL,"ACTIVE","2024-09-26 18:52:47.375791+02","SITE-29200","BRANCH_OFFICE","LOW","8:00-19:00",NULL,"+33 1097300727","Europe/Paris","48 rue Victor Hugo","Brest","Bretagne","France","29200","Site créé le 2025-02-13","REF-29200","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"39de4493-a4e1-44f0-9f2c-fe404b1eb808","Site Quimper",NULL,NULL,"ACTIVE","2024-07-01 18:52:47.375791+02","SITE-29000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 73850496","Europe/Paris","59 rue du Général de Gaulle","Quimper","Bretagne","France","29000","Site créé le 2025-02-13","REF-29000","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"8d9b3461-d3f9-42ef-b8b6-dd1534362c72","Site Saint-Malo",NULL,NULL,"ACTIVE","2024-08-18 18:52:47.375791+02","SITE-35400","MAIN_OFFICE","LOW","8:00-19:00",NULL,"+33 889726774","Europe/Paris","35400 Saint-Malo","Saint-Malo","Bretagne","France","35400","Site créé le 2025-02-13","REF-35400","SD-WAN","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"8b92a6d5-c17f-4d95-86aa-afd1ebac06c3","Site Vannes",NULL,NULL,"ACTIVE","2024-10-25 18:52:47.375791+02","SITE-56000","MAIN_OFFICE","LOW","8:00-19:00",NULL,"+33 315992526","Europe/Paris","92 rue Jean Jaurès","Vannes","Bretagne","France","56000","Site créé le 2025-02-13","REF-56000","MPLS","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"1b71b673-e8f8-4716-a75e-eddd37f5b480","Site Rouen",NULL,NULL,"ACTIVE","2024-09-19 18:52:47.375791+02","SITE-76000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 759684689","Europe/Paris","79 rue Victor Hugo","Rouen","Normandie","France","76000","Site créé le 2025-02-13","REF-76000","MPLS","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"9c683e77-014f-4b86-bff1-643816b31fdc","Site Caen",NULL,NULL,"ACTIVE","2024-09-27 18:52:47.375791+02","SITE-14000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 72725997","Europe/Paris","76 rue de la République","Caen","Normandie","France","14000","Site créé le 2025-02-13","REF-14000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"39274385-bc1b-4065-a4a4-dbd7dfcdbf5e","Site Le Havre",NULL,NULL,"ACTIVE","2024-03-04 18:52:47.375791+01","SITE-76600","MAIN_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 769325176","Europe/Paris","93 rue Victor Hugo","Le Havre","Normandie","France","76600","Site créé le 2025-02-13","REF-76600","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"0e043dca-a681-4a90-942c-07f94fc403b0","Site Cherbourg",NULL,NULL,"ACTIVE","2025-01-15 18:52:47.375791+01","SITE-50100","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 9082443728","Europe/Paris","64 rue du Général de Gaulle","Cherbourg","Normandie","France","50100","Site créé le 2025-02-13","REF-50100","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"a108db41-c7dd-40ef-8cc7-637e97819738","Site Évreux",NULL,NULL,"ACTIVE","2024-11-30 18:52:47.375791+01","SITE-27000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 1063104017","Europe/Paris","12 rue Victor Hugo","Évreux","Normandie","France","27000","Site créé le 2025-02-13","REF-27000","MPLS","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"91a43aaa-68e9-4d9a-ba3f-966dc180a3fc","Site Dijon",NULL,NULL,"ACTIVE","2024-10-18 18:52:47.375791+02","SITE-21000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 6036699652","Europe/Paris","12 rue de la Liberté","Dijon","Bourgogne-Franche-Comté","France","21000","Site créé le 2025-02-13","REF-21000","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"fe34c53f-c7f0-4047-8fc9-7639e331f8c7","Site Besançon",NULL,NULL,"ACTIVE","2024-03-26 18:52:47.375791+01","SITE-25000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 60050957207","Europe/Paris","14 rue Jean Jaurès","Besançon","Bourgogne-Franche-Comté","France","25000","Site créé le 2025-02-13","REF-25000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"435d8c6d-600d-4955-9bf4-396a2a08a5f9","Site Belfort",NULL,NULL,"ACTIVE","2025-02-02 18:52:47.375791+01","SITE-90000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 512153635","Europe/Paris","90000 Belfort","Belfort","Bourgogne-Franche-Comté","France","90000","Site créé le 2025-02-13","REF-90000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"97200b75-e679-48f7-9eba-25d3b627143c","Site Nevers",NULL,NULL,"ACTIVE","2024-10-16 18:52:47.375791+02","SITE-58000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 648116031","Europe/Paris","58000 Nevers","Nevers","Bourgogne-Franche-Comté","France","58000","Site créé le 2025-02-13","REF-58000","HYBRID","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"4b5f1a57-cbbc-4468-86fc-fc962977f4c3","Site Auxerre",NULL,NULL,"ACTIVE","2024-07-24 18:52:47.375791+02","SITE-89000","BRANCH_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 8037928647","Europe/Paris","65 rue de la Liberté","Auxerre","Bourgogne-Franche-Comté","France","89000","Site créé le 2025-02-13","REF-89000","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"05222ec4-753e-4b08-be9d-dbab619a01ca","Site Orléans",NULL,NULL,"ACTIVE","2024-11-18 18:52:47.375791+01","SITE-45000","DATA_CENTER","MEDIUM","8:00-19:00",NULL,"+33 9053935885","Europe/Paris","7 rue Jean Jaurès","Orléans","Centre-Val de Loire","France","45000","Site créé le 2025-02-13","REF-45000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"f1d9350a-45b3-4499-9eef-3aec40ff0d1f","Site Tours",NULL,NULL,"ACTIVE","2024-07-31 18:52:47.375791+02","SITE-37000","MAIN_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 3098535290","Europe/Paris","29 rue de la Liberté","Tours","Centre-Val de Loire","France","37000","Site créé le 2025-02-13","REF-37000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"18222d2a-0838-4479-880d-d8fa250030cc","Site Bourges",NULL,NULL,"ACTIVE","2024-08-05 18:52:47.375791+02","SITE-18000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 374663391","Europe/Paris","66 rue de la Liberté","Bourges","Centre-Val de Loire","France","18000","Site créé le 2025-02-13","REF-18000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"497e1a36-9037-4677-895e-74ec31316e91","Site Blois",NULL,NULL,"ACTIVE","2024-03-04 18:52:47.375791+01","SITE-41000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 260117220","Europe/Paris","78 rue Jean Jaurès","Blois","Centre-Val de Loire","France","41000","Site créé le 2025-02-13","REF-41000","HYBRID","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"4556537b-d9c7-493c-9800-afcf189971dd","Site Châteauroux",NULL,NULL,"ACTIVE","2024-02-22 18:52:47.375791+01","SITE-36000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 538572879","Europe/Paris","93 rue de la Liberté","Châteauroux","Centre-Val de Loire","France","36000","Site créé le 2025-02-13","REF-36000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"a63f1ca1-0a9f-4d63-922d-fa6214cc4916","Site Bordeaux","10661b7d-2f84-4134-9d95-e48014273543",NULL,"ACTIVE","2024-03-07 18:52:47.375791+01","SITE-33000","DATA_CENTER","HIGH","8:00-19:00",NULL,"+33 927457915","Europe/Paris","33000 Bordeaux","Bordeaux","Nouvelle-Aquitaine","France","33000","Site créé le 2025-02-13","REF-33000","SD-WAN","COPPER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"2af52cc5-ea75-4e2d-b531-80f3e535bd86","Site Limoges",NULL,NULL,"ACTIVE","2025-01-26 18:52:47.375791+01","SITE-87000","MAIN_OFFICE","MEDIUM","8:00-19:00",NULL,"+33 348031058","Europe/Paris","12 rue du Général de Gaulle","Limoges","Nouvelle-Aquitaine","France","87000","Site créé le 2025-02-13","REF-87000","MPLS","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"80dfad8b-04c4-4d76-81ef-ffcbf6495488","Site Poitiers",NULL,NULL,"ACTIVE","2024-04-29 18:52:47.375791+02","SITE-86000","BRANCH_OFFICE","HIGH","8:00-19:00",NULL,"+33 516461545","Europe/Paris","86000 Poitiers","Poitiers","Nouvelle-Aquitaine","France","86000","Site créé le 2025-02-13","REF-86000","HYBRID","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"179770a6-b676-491e-997c-78b852470c5a","Site Pau",NULL,NULL,"ACTIVE","2024-02-23 18:52:47.375791+01","SITE-64000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 920518467","Europe/Paris","66 rue Jean Jaurès","Pau","Nouvelle-Aquitaine","France","64000","Site créé le 2025-02-13","REF-64000","HYBRID","FIBER","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
"d6c7bda2-f40f-4b6d-afed-d6eaca567f40","Site La Rochelle",NULL,NULL,"ACTIVE","2024-07-18 18:52:47.375791+02","SITE-17000","DATA_CENTER","LOW","8:00-19:00",NULL,"+33 246617224","Europe/Paris","17000 La Rochelle","La Rochelle","Nouvelle-Aquitaine","France","17000","Site créé le 2025-02-13","REF-17000","SD-WAN","SATELLITE","2025-02-13 18:52:47.375791+01","2025-02-13 18:52:47.375791+01"
